# TESS Program G08046

Title: Planets And Stellar Activity Through Time: Understanding The Evolution, Diversity And Habitability Of Planetary Systems

PI: Battley, Matthew - Queen Mary University Of London

Type: SMALL

Summary: Young exoplanets offer unique insights into the formation and evolution processes that form the diverse population of exoplanets known today. We propose to observe 10,140 young stars with 2-min cadence, in order to search for new young exoplanets and characterise the early evolution of stellar flare activity in order to understand its effects on the diversity and habitability of planetary systems. Our sample is drawn from 55 nearby stellar associations, co-moving groups and open clusters with precise ages from 1Myr 3 Gyr, providing a wide overview of exoplanetary evolution over these early epochs. The longer sectors and adjusted pointing of Cycle 8 will allow us to extend the search to longer-period young exoplanets and better characterise the rotational activity of these young stars.


# Sector 097 targets observed (2 min: 858, 20 s: 59)
308245856,51.7495,-37.2049,15.31,G08033;G08046;G08103
308266061,51.9061,-37.9447,14.81,G08046;G08137;G08158
308266063,51.9123,-37.9287,16.44,G08046;G08103
308305105,52.3196,-37.0474,12.4,G08046;G08137;G08158
308305138,52.2274,-36.838,14.43,G08046;G08103;G08137
308305734,52.4602,-38.2005,12.6,G08033;G08046;G08158;G08137
321068326,44.435,-41.703,14.86,G08033;G08046;G08137;20SECONDTARGET
321100028,60.1339,-41.7485,7.8,G08046;G08158;20SECONDTARGET
323296309,52.7566,-37.2219,14.02,G08046;G08103;G08137
323296890,52.8552,-38.2986,15.24,G08046
369362212,53.6443,-39.785,16.82,G08046;G08103
369377600,60.7365,-41.0855,11.63,G08046
401913214,52.7055,-45.9326,8.74,G08046;G08158
79564314,51.3939,-44.1332,13.35,G08046;G08137
79566479,52.9827,-43.9871,9.61,G08046;20SECONDTARGET
79611634,53.9845,-42.7642,13.73,G08046;G08137
79611981,54.0062,-44.5154,9.47,G08046;20SECONDTARGET
142178690,37.6935,-43.7305,10.27,G08046;G08158
142199971,38.1155,-47.9121,13.14,G08046
142200035,38.3216,-47.5191,13.48,G08046
142218335,39.0753,-43.686,13.19,G08046
142218548,39.0546,-44.8286,15.05,G08046;G08103
142274336,40.3251,-42.8948,14.02,G08046
142300097,40.93,-45.1051,16.25,G08046
146637912,42.5951,-45.6524,14.54,G08046;G08103
146687824,43.2473,-46.1612,12.73,G08046
146710057,44.1656,-46.1125,14.87,G08046;G08137
165919349,31.3617,-46.8218,12.93,G08046
166759606,37.4489,-51.9917,11.05,G08046
166787846,38.5789,-51.4796,12.41,G08046;G08137;G08103;G08158;20SECONDTARGET
166801438,38.6002,-48.4922,16.02,G08046
166802125,38.8195,-50.8204,9.67,G08046
166808151,39.2166,-52.051,9.93,G08046;G08158;G08137;20SECONDTARGET
166835573,39.7824,-52.9345,6.43,G08046
201789285,33.8899,-56.455,14.03,G08046;G08137;G08103;G08158
207109256,33.4793,-48.0629,14.45,G08046
219985761,30.0266,-49.1806,11.81,G08046
219998026,31.8263,-53.1992,8.05,G08046;G08158
231061242,31.1475,-54.8819,6.08,G08046;G08158;20SECONDTARGET
231274898,41.7818,-49.2436,14.02,G08046
231282583,43.11,-52.4188,11.89,G08046
231286446,43.6393,-51.1421,10.04,G08046;G08137;G08158
231286568,43.5177,-51.7144,14.03,G08046
231289457,43.8982,-53.8649,14.44,G08046
231294802,44.8304,-51.3762,13.77,G08046;G08103;G08137
231300661,45.7924,-49.4819,11.22,G08046
299887289,46.5028,-52.1589,16.32,G08046
311403358,35.991,-45.5376,14.5,G08046
311410991,33.5991,-50.1938,14.34,G08046
339607562,46.2742,-53.2885,13.0,G08046;G08103;G08158;G08137
7242537,32.7314,-46.0665,10.38,G08033;G08046;G08158;G08137
197787320,51.0633,-59.0201,10.79,G08046;G08137;G08158
197891050,57.7697,-57.0296,14.77,G08046;G08137
201795667,35.2154,-58.3949,11.29,G08046;G08137;G08103;G08158;20SECONDTARGET
201795995,35.4289,-59.7859,13.83,G08046;G08137;G08103
201859307,37.6829,-58.1989,12.83,G08046;G08137
201861769,38.0818,-57.77,12.84,G08046;G08137;G08103;G08158
201919099,40.6387,-57.6603,9.71,G08046;G08158
201938513,41.9445,-58.0743,10.8,G08046;G08103;G08158;20SECONDTARGET
207138379,43.8836,-57.0479,12.96,G08046;G08137;G08103;G08158;20SECONDTARGET
207148580,45.7549,-55.4134,12.21,G08046;G08158
207169822,46.1992,-55.033,11.29,G08046
207206666,48.3745,-56.4586,14.69,G08046
207238086,50.0759,-55.6047,12.46,G08046;G08158;G08137
207242047,50.6437,-57.9273,15.67,G08046
220522527,42.3047,-62.4696,13.54,G08046;G08158;G08137
220523369,42.5941,-65.7653,11.97,G08046;G08137;20SECONDTARGET
220557792,44.5173,-62.6871,10.52,G08046;G08158
220558700,44.7627,-61.3333,13.34,G08046;G08137;G08158
220570408,46.5613,-65.3589,9.5,G08046;G08158
220571696,46.9828,-60.9135,13.22,G08046
220571983,47.0965,-60.1716,8.06,G08046
220572079,47.2131,-60.5049,13.73,G08046
237918270,56.6048,-62.7731,13.68,G08046;G08158;G08137
237918271,56.6229,-62.7699,14.34,G08046;G08158;G08137
237923056,57.2944,-62.9609,13.98,G08046
262924431,54.0163,-60.6661,13.86,G08046;G08158
279617110,48.4039,-61.5024,14.01,G08046
31747041,49.4972,-66.9268,5.93,G08046;20SECONDTARGET
358579498,54.3396,-61.2682,14.76,G08046
382552502,35.686,-60.38,10.65,G08046;G08158;G08137;20SECONDTARGET
38507576,62.1634,-61.2656,13.05,G08046
38518773,63.1949,-60.8882,12.71,G08046;G08158
152473485,62.1894,-47.7858,14.03,G08046;G08137
152504414,63.288,-46.2001,14.24,G08046
152507565,63.5735,-45.2745,8.56,G08046
152560209,64.2824,-47.7843,10.39,G08046;G08158;G08137
153710618,65.6905,-44.5477,9.88,G08046;G08143;G08158;G08137
153836724,67.6476,-46.6725,16.55,G08046
153838077,67.9404,-46.1434,16.44,G08046
