# TESS Program G09062

Title: A Survey Of Oscillations And Granulation In Subgiant Stars

PI: Chontos, Ashley - Dartmouth College

Type: SMALL

Summary: Brightness variations observed in high-precision light curves encode powerful information about fundamental properties and convection in subgiant stars through oscillations and granulation. However, the current sample of subgiants with measured oscillations and granulation is predominantly focused on the Kepler field, and prime mission TESS data do not provide sufficient time coverage to make precise measurements. Here we propose 2-minute cadence observations to perform a survey of oscillations and granulation in subgiant stars, which will enable us to (i) probe the efficiency of convective driving and damping of oscillations, (ii) test stellar models by constraining convective properties such as the mixing length parameter and (iii) calibrate granulation metrics for TESS stars.


# Sector 108 targets observed (2 min: 655, 20 s: 186)
144504128,50.1887,-26.6063,5.89,G09062;20SECONDTARGET
144504552,50.1166,-24.1148,7.23,G09062
144521339,50.8035,-26.1154,7.19,G09062
144521956,50.7789,-29.3652,8.5,G09062
176841549,49.1901,-32.0893,8.85,G09062
176842955,49.4129,-31.2417,8.79,G09062
178155533,42.8449,-30.4378,7.12,G09062;20SECONDTARGET
178155732,42.9854,-30.8137,5.91,G09062;G09123;G09126;20SECONDTARGET
204613780,41.6885,-21.6394,6.12,G09062;20SECONDTARGET
204613785,41.6098,-21.6606,6.83,G09062;20SECONDTARGET
204614426,41.7961,-22.4861,6.06,G09062;G09123;20SECONDTARGET
209406565,44.9484,-30.1731,7.77,G09062
209406740,44.9113,-31.3243,9.33,G09062;20SECONDTARGET
209429132,45.2689,-33.1098,6.74,G09062
257526233,45.9475,-21.3617,6.67,G09062;20SECONDTARGET
322736925,37.5914,-30.3524,8.79,G09062
407585696,49.8643,-31.5609,8.26,G09062
423783847,52.1282,-25.7004,8.18,G09062
64109026,39.9756,-23.9299,7.6,G09062;20SECONDTARGET
65344368,39.1983,-25.0243,7.15,G09062;20SECONDTARGET
65345479,39.4211,-29.3235,8.19,G09062
65347620,39.7969,-28.2983,7.92,G09062
65348276,39.7777,-24.339,7.79,G09062
65415064,40.7933,-25.941,9.06,G09062
65416950,41.0621,-25.495,6.38,G09062;20SECONDTARGET
65481072,42.7447,-28.1325,8.26,G09062
88338809,44.0823,-28.9503,7.75,G09062
88379410,44.8704,-28.3743,9.21,G09062
88380516,44.9023,-25.2735,5.32,G09062;20SECONDTARGET
88405010,45.1811,-27.6427,7.08,G09062
88405751,45.4091,-28.0948,5.11,G09062;20SECONDTARGET
88409685,45.793,-28.7896,9.3,G09062
88523071,48.0219,-28.983,3.45,G09062;20SECONDTARGET
88532366,48.3507,-28.9752,7.33,G09062
89044697,47.5488,-33.348,8.48,G09062
91590767,44.132,-32.7866,8.68,G09062
92230185,48.771,-23.9376,8.99,G09062
92261675,50.1795,-23.3052,8.07,G09062
92361191,52.3966,-23.4755,6.44,G09062
92361302,52.5593,-23.7452,8.38,G09062
114921565,72.4079,-15.8097,7.77,G09062;20SECONDTARGET
114955465,72.7887,-17.8568,9.1,G09062
117979850,71.8096,-17.2488,7.83,G09062
117979951,71.9022,-16.9332,4.9,G09062;20SECONDTARGET
118034753,72.1356,-16.3292,5.26,G09062;20SECONDTARGET
121644774,72.5549,-18.5771,9.46,G09062
121707431,72.9072,-18.5616,9.69,G09062
13271550,78.1083,-24.9225,8.16,G09062
13321014,78.4038,-25.343,8.64,G09062
146308722,73.7026,-20.3896,8.01,G09062
146341012,74.1108,-23.2876,7.62,G09062
146349874,74.6867,-20.5479,8.79,G09062
146435275,75.3264,-23.7074,7.08,G09062;20SECONDTARGET
146523123,76.7904,-19.3898,5.87,G09062;20SECONDTARGET
146559098,77.4919,-23.3992,9.97,G09062
146598640,77.929,-19.011,8.97,G09062
152415589,75.3287,-17.5581,7.55,G09062
160180978,79.5362,-16.1869,6.8,G09062
169395153,76.7862,-17.3011,6.58,G09062;20SECONDTARGET
169554310,78.3896,-16.8473,10.07,G09062
178945062,68.7274,-25.0393,6.93,G09062;20SECONDTARGET
178947400,68.8247,-24.533,6.24,G09062;20SECONDTARGET
189011662,78.9991,-16.353,8.45,G09062
229079718,68.4797,-18.1789,7.14,G09062
316919585,74.7547,-16.375,5.44,G09062;20SECONDTARGET
348772705,75.1828,-17.5852,8.1,G09062
398792837,72.3311,-19.633,9.39,G09062
398801392,78.3552,-18.5589,7.13,G09062
406498177,70.8221,-23.6284,6.68,G09062;20SECONDTARGET
423498764,71.644,-22.7798,8.26,G09062
423517986,71.7096,-18.3995,7.43,G09062
423520098,71.8482,-22.5613,8.23,G09062
1250339,72.2359,-33.4721,7.54,G09062
13069633,75.9064,-28.9698,9.03,G09062
1309015,72.9767,-34.2386,6.18,G09062
13147218,77.0047,-26.7978,7.49,G09062;20SECONDTARGET
1354091,73.6773,-31.4358,7.5,G09062;20SECONDTARGET
1356036,73.8061,-33.3499,10.14,G09062
13915281,74.6305,-37.8346,9.36,G09062
13931687,74.8348,-36.8707,6.66,G09062;20SECONDTARGET
13931999,74.9515,-38.0378,9.42,G09062
14084821,77.0467,-37.9104,9.49,G09062
1448845,74.966,-34.067,10.29,G09062
168874602,65.4094,-31.2844,9.07,G09062
168902678,65.5099,-34.8971,7.93,G09062
170632659,66.235,-34.7582,6.13,G09062
170636418,66.6275,-32.8162,6.43,G09062;20SECONDTARGET
170672094,66.9197,-32.4086,6.63,G09062
170672891,66.9761,-30.7442,8.6,G09062
170673066,67.0919,-31.4564,7.86,G09062
170699427,67.899,-31.52,7.14,G09062;20SECONDTARGET
170729393,67.8946,-35.9054,7.93,G09062
170786161,69.0963,-30.8323,8.36,G09062
170789460,69.4101,-29.9047,7.68,G09062
170790508,69.4837,-33.8979,8.91,G09062
170804210,69.8323,-33.4302,7.66,G09062
170882264,70.744,-33.4336,7.93,G09062
178858961,66.8612,-29.1958,7.04,G09062
178946294,68.8134,-29.3573,7.88,G09062
178953197,69.1661,-26.429,8.17,G09062
179013690,70.166,-27.4585,8.62,G09062
664269,73.0823,-29.4323,7.98,G09062;20SECONDTARGET
682256,73.9098,-27.8123,9.79,G09062
711970,74.2469,-27.9982,8.95,G09062
7697120,65.8098,-36.3325,7.7,G09062;20SECONDTARGET
77288515,70.5149,-37.1427,4.67,G09062;20SECONDTARGET
77359410,72.1517,-37.4356,8.31,G09062
77670537,76.2017,-31.5888,8.73,G09062
77835564,77.6761,-34.4128,8.81,G09062
77836699,77.8727,-33.8809,7.5,G09062;20SECONDTARGET
77861221,78.5829,-33.3491,7.71,G09062
100531398,86.3044,-31.6693,6.5,G09062;20SECONDTARGET
100610506,86.8713,-32.7058,9.26,G09062
140211218,84.8293,-32.9331,10.07,G09062
140286133,85.4094,-30.6745,8.21,G09062
143106235,89.275,-31.2571,8.11,G09062
143205487,90.2897,-31.7264,7.89,G09062;20SECONDTARGET
143230081,90.583,-30.0145,7.87,G09062
143234933,90.6701,-32.016,8.08,G09062
144516734,84.5625,-37.8654,9.27,G09062
153097724,89.1589,-29.6955,9.09,G09062
160329848,91.2542,-35.0613,10.87,G09062
167658216,79.4226,-37.6187,8.26,G09062
167658314,79.4087,-37.967,9.34,G09062
192789064,81.9317,-36.5435,9.81,G09062
192800872,82.3319,-36.5717,8.3,G09062
201375066,91.7825,-31.8971,7.42,G09062
201495954,92.8869,-31.5195,8.71,G09062
20231817,90.5433,-37.6976,9.62,G09062
20297345,90.7983,-36.938,10.29,G09062
21507177,85.9217,-37.7086,8.03,G09062
21726939,88.0453,-37.1403,8.65,G09062
24360361,81.5223,-30.6728,8.1,G09062
24400247,81.7772,-31.5659,6.63,G09062
24588623,83.7589,-35.4739,7.9,G09062
24608799,83.8611,-33.2684,6.25,G09062;20SECONDTARGET
24626896,84.4347,-34.9715,8.77,G09062
24671341,84.5708,-35.4695,8.71,G09062
300112535,92.2426,-36.7977,8.29,G09062
31259676,82.1269,-29.3489,8.38,G09062
31471821,83.9214,-27.6224,7.55,G09062
32500750,84.4356,-28.6894,4.83,G09062;20SECONDTARGET
32828818,86.8416,-27.1346,6.69,G09062;20SECONDTARGET
33063882,88.5583,-29.1474,5.96,G09062;20SECONDTARGET
33103633,88.9025,-29.9164,7.41,G09062;20SECONDTARGET
343864440,93.0596,-36.7572,8.6,G09062
37250075,91.3529,-28.6762,8.01,G09062;20SECONDTARGET
37501256,92.8162,-28.299,10.0,G09062
37543678,92.9043,-27.9275,7.38,G09062;20SECONDTARGET
37604071,93.1277,-29.0185,6.93,G09062
393315347,92.2068,-36.1306,7.58,G09062;20SECONDTARGET
393315435,92.1776,-35.9451,10.48,G09062
78011077,79.8978,-35.9455,10.5,G09062
78109269,80.9753,-32.9488,10.17,G09062
123574104,89.1067,-20.0384,7.96,G09062
123901010,90.854,-21.791,6.92,G09062
124229161,92.4506,-22.7739,5.26,G09062;20SECONDTARGET
255752750,81.4993,-19.6956,5.42,G09062;20SECONDTARGET
306330414,90.8244,-16.0434,6.94,G09062;20SECONDTARGET
31090358,80.636,-25.5837,7.98,G09062
317094165,86.679,-16.7235,8.86,G09062
317480495,88.0474,-17.5523,6.96,G09062
317548889,88.3783,-16.2657,6.78,G09062;G09123;20SECONDTARGET
317800288,89.2451,-15.551,9.44,G09062
317921889,89.905,-16.7861,7.25,G09062;20SECONDTARGET
322572746,89.6165,-20.6911,9.52,G09062
32554144,84.8509,-25.243,7.26,G09062;20SECONDTARGET
37437272,92.3865,-25.2754,7.72,G09062;20SECONDTARGET
393805345,81.3039,-18.3396,9.69,G09062
408907858,92.0701,-17.2301,9.52,G09062
408908804,92.0264,-15.9015,6.5,G09062;20SECONDTARGET
420964096,82.0865,-22.4328,6.22,G09062;20SECONDTARGET
442963044,81.5159,-16.6335,7.93,G09062
46556441,84.6586,-16.9201,7.03,G09062;20SECONDTARGET
46562304,84.7831,-17.831,7.76,G09062
93129631,85.1316,-22.1558,7.55,G09062
93244307,85.9499,-19.6517,6.75,G09062
93280676,86.1135,-22.4511,3.1,G09062;G09157;20SECONDTARGET
93281916,86.1182,-20.1263,5.82,G09062;20SECONDTARGET
