# TESS Program G08036

Title: The TESS Legacy Survey Of Accreting Compact Binaries

PI: Scaringi, Simone - Durham University

Type: MINI

Summary: Accretion is responsible for the growth and evolution of most objects in the Universe, yet many unanswered questions remain in accretion disk physics. We propose to continue this ongoing program and observe a sample accreting compact objects (comprising a mix of accreting white dwarfs, neutron stars, and stellar-mass black holes) at 2-minute cadence with TESS, with a small number of systems at 20 second cadence. This on-going program is providing a long-lasting legacy dataset for the community by unravelling the optical variability properties of a variety of accreting compact objects.


# Sector 097 targets observed (2 min: 144, 20 s: 7)
833806690,130.3759,-23.2873,19.57,G08036
834064671,131.6453,-20.6552,18.64,G08036
834497638,128.8905,-18.5331,17.83,G08088;G08036
834649888,129.2782,-15.1735,19.91,G08036
836116689,136.1185,-16.6616,19.59,G08036
836208480,138.4465,-14.4882,20.35,G08036
836220761,137.2367,-14.9036,18.8,G08036
836275275,131.7486,-15.6985,18.49,G08036
396745198,147.215,-12.2724,18.32,G08036
836501937,139.7644,-9.0144,19.11,G08088;G08036
876015454,143.5718,-17.7392,17.8,G08036
876073406,145.9192,-18.6961,19.84,G08036
876074131,146.106,-18.549,20.1,G08036
876127875,149.8602,-16.0299,18.92,G08088;G08036
876140075,151.7306,-14.4215,19.53,G08036
876163068,149.4536,-13.3256,18.72,G08036
876172117,143.0851,-16.1254,19.77,G08036
876181664,142.9334,-15.2479,18.95,G08036
876226259,146.6086,-13.1357,19.83,G08036
876297417,140.0042,-11.0507,19.57,G08036
876333618,142.0107,-8.7709,20.04,G08036
270001455,138.5446,1.6258,17.15,G08036;G08079
469348568,141.5595,1.0993,19.34,G08036
60952336,139.9893,-7.0833,14.68,G08036;G08079
71224082,134.2909,-3.3517,18.82,G08036
836518893,136.6061,-8.8678,19.63,G08036
837138696,134.1679,-4.0777,17.57,G08088;G08036;G08079;G08079
837225119,135.9344,-1.5572,19.69,G08088;G08036
841915878,142.9649,-4.1767,18.07,G08036
842059427,140.7033,-4.4074,19.85,G08088;G08036
842120088,140.0397,0.7123,17.38,G08036
842134539,141.5851,3.7618,19.23,G08036
100903898,129.3507,-12.4335,18.1,G08036
13627824,133.1129,-8.7317,16.21,G08036
13818774,134.014,-10.446,17.45,G08036
1607962,131.4417,-5.1855,18.39,G08036
296252209,125.0917,-12.4857,17.87,G08036
51362920,128.8593,-8.0864,18.5,G08036
803109945,123.5051,-7.3285,19.07,G08036
836747036,133.0878,-8.2872,19.85,G08036
836820279,128.1232,-9.2323,18.39,G08036
836990805,135.1093,-9.4469,19.78,G08036
837026201,133.2298,-8.0517,19.29,G08036
101529716,149.3546,-35.8778,16.31,G08036
287042952,150.868,-38.339,16.5,G08088;G08036
33161246,144.7813,-42.442,17.58,G08036
33654813,145.6124,-44.501,16.44,G08036
3443498,139.2288,-37.4366,16.65,G08036
35976533,149.4364,-42.5411,15.7,G08036
44571067,145.8387,-39.9891,14.84,G08036
45235393,147.7059,-41.3894,15.71,G08036;20SECONDTARGET
4636920,141.2075,-35.9816,17.73,G08036
48014849,147.1664,-34.8604,16.9,G08036
4814256,141.5668,-37.2228,16.39,G08036;G08079
4970499,141.9664,-39.1812,16.27,G08036
72478715,151.3837,-37.1662,17.12,G08036
73319029,154.2459,-41.0624,17.48,G08036
73435666,154.7229,-40.1121,18.04,G08036
817019726,139.8119,-37.1375,18.54,G08036
870467910,153.3524,-41.657,19.26,G08036
870928177,148.8658,-39.7978,18.13,G08036
871067511,153.2453,-38.6003,17.41,G08036
871174092,152.6344,-37.2089,19.18,G08036
872778420,146.9108,-36.433,20.02,G08036
873019314,143.4505,-38.1774,18.87,G08036
192991819,155.4137,-28.3798,17.48,G08088;G08036;G08079
49001541,164.1659,-31.3701,17.26,G08036
54148553,160.6099,-35.2388,18.33,G08036
71448566,155.1757,-33.834,17.56,G08036
71544757,155.5218,-35.6322,15.35,G08036
71671894,156.2422,-30.7831,16.59,G08036
873605627,158.6311,-38.8603,20.15,G08036
873616359,159.0046,-38.2058,18.68,G08036
873741992,159.7588,-36.9184,20.8,G08036
873753991,159.1062,-36.0301,18.58,G08036
873839639,154.4987,-36.0872,19.57,G08036
873959038,157.7878,-35.0307,20.41,G08036
874247739,150.9036,-31.1392,20.27,G08036
874253846,151.532,-30.7733,18.8,G08036
874307377,156.2135,-29.3331,19.7,G08036
874597500,159.3648,-27.6525,20.32,G08036
942396091,165.4436,-34.1899,16.94,G08036
942600300,162.695,-34.8007,19.41,G08036
942650109,164.7459,-31.6094,16.91,G08036
942675547,161.3837,-32.0599,19.87,G08036
942687764,163.6724,-31.3411,17.87,G08036
942813418,162.7595,-29.8374,20.13,G08036
168205620,153.4412,-27.9661,18.68,G08088;G08036
