TICID,RA,Dec,Tmag,Keywords
869252292,147.1838,-44.8731,18.24,G07092;20SECONDTARGET
869288736,147.7543,-44.3766,18.47,G07092;20SECONDTARGET
869488381,145.4758,-44.1769,18.44,G07092;20SECONDTARGET
869574293,147.1764,-43.6066,18.74,G07092;20SECONDTARGET
869625276,145.7882,-42.9787,17.16,G07092;20SECONDTARGET
870160982,152.7205,-43.5974,18.57,G07092;20SECONDTARGET
870164493,152.5222,-43.3457,17.41,G07092;20SECONDTARGET
870472077,153.2241,-41.219,18.14,G07092;20SECONDTARGET
870711880,150.8922,-42.0519,18.99,G07092;20SECONDTARGET
870722823,150.0087,-42.536,18.67,G07092;20SECONDTARGET
870778919,147.9594,-42.5388,18.27,G07092;20SECONDTARGET
870856230,147.6359,-40.9085,15.38,G07092;20SECONDTARGET
870953312,152.1529,-40.9253,17.65,G07092;20SECONDTARGET
871077686,152.7635,-37.8839,18.53,G07092;20SECONDTARGET
871152368,151.7718,-38.5214,17.38,G07092;20SECONDTARGET
871490158,141.3284,-44.311,18.55,G07092;20SECONDTARGET
871685844,143.4758,-43.532,18.45,G07092;20SECONDTARGET
871697428,142.7227,-43.4109,18.55,G07092;20SECONDTARGET
871800099,145.5554,-41.2741,18.8,G07092;20SECONDTARGET
871818004,143.8252,-41.9633,18.52,G07092;20SECONDTARGET
872023961,143.5489,-40.613,18.86,G07092;20SECONDTARGET
872026557,143.3945,-40.4913,18.12,G07092;20SECONDTARGET
872077146,142.7133,-39.7359,17.16,G07092;20SECONDTARGET
872116637,140.0673,-41.4534,17.45,G07092;20SECONDTARGET
872116647,140.0671,-41.4513,17.45,G07092;20SECONDTARGET
872249561,142.6725,-39.4995,17.92,G07092;20SECONDTARGET
872259069,141.5035,-39.3632,16.8,G07009;G07092
872275537,143.1488,-38.7709,18.93,G07092;20SECONDTARGET
872584883,148.2044,-38.131,18.65,G07092;20SECONDTARGET
872616325,147.4467,-37.9173,17.56,G07092;20SECONDTARGET
872642988,144.9912,-39.1976,17.51,G07092;20SECONDTARGET
872829025,148.5731,-37.1496,17.41,G07092;20SECONDTARGET
872884936,149.9793,-35.8494,18.86,G07092;20SECONDTARGET
872907680,147.7412,-36.7667,18.12,G07092;20SECONDTARGET
872928207,148.5042,-35.7538,18.34,G07092;20SECONDTARGET
873051909,143.5626,-37.0791,18.87,G07092;20SECONDTARGET
873077422,142.6181,-36.9731,18.54,G07092;20SECONDTARGET
873105983,144.6119,-36.8924,17.94,G07092;20SECONDTARGET
873109291,145.1822,-36.5867,18.47,G07092;20SECONDTARGET
873117820,144.4712,-36.2113,18.87,G07092;20SECONDTARGET
873155712,144.2188,-35.1625,18.46,G07092;20SECONDTARGET
873194690,142.737,-36.3351,18.03,G07092;20SECONDTARGET
873285117,144.0463,-34.0164,17.5,G07092;20SECONDTARGET
873316681,143.0633,-33.3383,18.68,G07092;20SECONDTARGET
873451715,144.0508,-33.0163,18.73,G07092;20SECONDTARGET
873812052,154.8133,-37.0598,17.97,G07092;20SECONDTARGET
873832197,154.8039,-36.5495,18.85,G07092;20SECONDTARGET
873837205,154.1243,-36.4462,17.44,G07092;20SECONDTARGET
873883886,153.667,-36.401,18.86,G07092;20SECONDTARGET
168071263,152.6988,-24.4534,15.48,G07092;20SECONDTARGET
193159342,157.3645,-26.9386,17.3,G07092;20SECONDTARGET
193162038,157.4901,-26.4028,16.47,G07092;20SECONDTARGET
21894942,147.1898,-24.9471,16.9,G07092;20SECONDTARGET
358850883,151.6823,-22.2994,17.01,G07092;20SECONDTARGET
71302293,154.5555,-34.6479,16.87,G07092;20SECONDTARGET
71620115,156.1053,-35.5582,16.72,G07092;20SECONDTARGET
873416934,147.9713,-31.8242,18.8,G07092;20SECONDTARGET
873466914,145.4126,-31.9749,18.3,G07092;20SECONDTARGET
873467684,145.2046,-32.0511,17.32,G07009;G07092;20SECONDTARGET
873925284,155.0416,-34.9803,18.83,G07092;20SECONDTARGET
